Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.18899388321681054
Klebsiella oxytoca,0.17163695975905435
Proteus mirabilis,0.16406958036035954
Pseudomonas aeruginosa,0.1631079244672528
Klebsiella pneumoniae,0.1384407465469762
Enterobacter spp,0.13775840015657204
Providencia stuartii,0.13563371954397563
Escherichia coli,0.13100765297092998
Enterobacter cloacae,0.10658716020645463
Enterobacter hormaechi,0.06153510266241346
Providencia spp,0.043384562047423594
Klebsiella aerogenes,0.04149534139649927
Citrobacter freundii,0.03844115257639532
Morganella morganii,0.0042866365321791305
