Species,Median_Probability_Gene_Presence
Morganella morganii,0.3602672047665879
Enterobacter cloacae,0.2223950915028162
Providencia rettgeri,0.21379158793531142
Klebsiella pneumoniae,0.21102305231746304
Klebsiella aerogenes,0.2073028829930524
Enterobacter spp,0.2053734880347138
Klebsiella oxytoca,0.2036333204115905
Citrobacter freundii,0.20142710664067087
Escherichia coli,0.19951308187170652
Enterobacter hormaechi,0.19694799837919058
Providencia stuartii,0.19419811062974435
Providencia spp,0.18452573389942137
Proteus mirabilis,0.1840874411026271
Pseudomonas aeruginosa,0.17109920126512956
