Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15222407158957063
Pseudomonas aeruginosa,0.13211234677791708
Enterobacter spp,0.12807800223539534
Klebsiella aerogenes,0.12437119670740783
Escherichia coli,0.12201897212129831
Klebsiella pneumoniae,0.12156179127283245
Providencia rettgeri,0.1180800924897413
Citrobacter freundii,0.11749642351513523
Enterobacter hormaechi,0.1077408262271447
Enterobacter cloacae,0.10603591100690107
Providencia stuartii,0.10176652743047948
Providencia spp,0.0754099230111874
Klebsiella oxytoca,0.06198859991591399
Morganella morganii,0.02124039277212946
