,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,2.275,1.175,0.196,4.533,0.037,0.02,1019.0,1842.0,1.0
beta_year,0.198,0.011,0.177,0.218,0.0,0.0,2811.0,2217.0,1.0
beta_gene_count,0.581,0.912,-1.004,2.473,0.019,0.013,2378.0,2464.0,1.0
beta_key_genes[0],-0.864,0.083,-1.017,-0.71,0.002,0.001,2085.0,2235.0,1.0
beta_key_genes[1],-0.863,0.083,-1.02,-0.709,0.002,0.001,2165.0,2409.0,1.0
beta_key_genes[2],-0.853,0.086,-1.011,-0.689,0.002,0.001,2270.0,2795.0,1.0
beta_key_genes[3],-0.947,0.088,-1.117,-0.786,0.002,0.001,2092.0,2699.0,1.0
beta_key_genes[4],-0.742,0.092,-0.916,-0.572,0.002,0.001,2265.0,2409.0,1.0
sigma_species,2.98,0.488,2.129,3.942,0.011,0.007,1922.0,2548.0,1.0
sigma_gender,0.492,0.434,0.012,1.327,0.013,0.013,1216.0,1645.0,1.0
sigma_age,0.317,0.149,0.103,0.584,0.005,0.009,1224.0,1276.0,1.0
sigma_source,1.701,0.304,1.162,2.265,0.009,0.005,1198.0,2169.0,1.0
sigma_specialty,0.625,0.173,0.358,0.952,0.004,0.005,2161.0,1794.0,1.0
