Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.968397401240691,0.2479547695616004,0.9999981244912718
2014,0.9623490076538335,0.29999205750575675,0.9999939048507731
2015,0.9551116443752097,0.3532793425458916,0.9999815942289462
2016,0.9477638752749796,0.4061182935206588,0.9999433015451847
2017,0.9375740268053943,0.4696439274556043,0.9998166652606579
2018,0.92695937303276,0.5315907932458203,0.999391055164811
2019,0.9151166584013167,0.5883262060865161,0.9980751476986572
2020,0.9032767788273974,0.6407494405217322,0.99413527772956
2021,0.8880288576352293,0.67520936671751,0.9820252616335804
2022,0.8719373190775347,0.6718466128275628,0.9516074133036105
2023,0.8471945188770825,0.633955967969801,0.9237020753228097
