Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.27774685723708936,8.426814692577144e-05,0.9494624407732978
2014,0.34004971972379006,0.00030366224637993073,0.9417046534582697
2015,0.40745194732456,0.0011171212149116623,0.9344774331292185
2016,0.47907321209089104,0.003904480417613277,0.9265105763333565
2017,0.5553664596443209,0.01366151176355483,0.9187744717347236
2018,0.6240436453242575,0.04829192140957604,0.9112627448929148
2019,0.6909974106743826,0.1502905573262112,0.9062455393392314
2020,0.7510008869006544,0.3462154638247431,0.9062292459485541
2021,0.8068394174991771,0.5487962913925707,0.9146745812578484
2022,0.8568214006101049,0.6076193560302233,0.9502341214930029
2023,0.8915103916957917,0.6468721332428448,0.9821260455715032
