Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9343489542539216,0.8260501830029956,0.965104647128112
2014,0.9297406926494127,0.8193381939899755,0.9618669082414616
2015,0.9249531294732753,0.8076627878184458,0.9586924317903086
2016,0.9200153010162201,0.7957340923365172,0.9553615196003185
2017,0.9146342600765994,0.7787644980717976,0.9515833871888602
2018,0.9089111360574675,0.7663082093505745,0.948080662238407
2019,0.9028176924717068,0.7539912187981299,0.9447928244106246
2020,0.8963509038273186,0.7368340919537423,0.941526745411195
2021,0.8893498069778705,0.7246988627755009,0.9380449552368184
2022,0.8819582353812984,0.7098798145137794,0.933471025860931
2023,0.8739911075031258,0.6976554890766361,0.9294885474560206
