Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.012036309455537873,5.1479273604423487e-05,0.4751168249172832
2014,0.01356296398898916,9.70961156784359e-05,0.36586905723583646
2015,0.01537313794746022,0.00017095771173858225,0.2790773569766516
2016,0.01709147669647567,0.00026235238630846843,0.2196990833152056
2017,0.018715979734153496,0.0003892178655012596,0.18238839012108174
2018,0.02107019309285372,0.00047022713341348554,0.15819374063074057
2019,0.023293103290937155,0.000493539556682206,0.1538108836042567
2020,0.025194001194204244,0.0005460403461253398,0.17604880409348947
2021,0.027784990020811848,0.0005027441447083911,0.21732772003442222
2022,0.03117450607232653,0.00040092658283471253,0.2928620584706654
2023,0.033970129118562654,0.00028470521368225527,0.3894521495741982
