Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.990310331047066,0.8205013206632567,0.9999818304056047
2014,0.9906917740909766,0.8539188417067503,0.9999759052612969
2015,0.9913483700347079,0.8756317407922135,0.9999635702774957
2016,0.9917935900281203,0.889188386591656,0.9999519836916227
2017,0.9922212878394353,0.8982760216536461,0.9999342816434014
2018,0.9925068825730348,0.9067600434299486,0.9999259794001648
2019,0.992971670659999,0.9076096638645538,0.9999191341342184
2020,0.993258516411639,0.9057181624142813,0.9999227349515879
2021,0.9933610365514438,0.8960213887688075,0.9999367571258653
2022,0.9934788241380498,0.8812573809408228,0.9999513096644298
2023,0.9937825254750243,0.8517050074529039,0.9999592408094998
