Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.7155184312224709,0.43259460706202507,0.8378970218702286
2014,0.75265850518742,0.4810250198334563,0.8568644281325004
2015,0.7858825786675423,0.5384276666762471,0.8749023410404885
2016,0.8159780383195574,0.5828866302716762,0.8931630559640821
2017,0.8420118532586832,0.6296119183688073,0.9100923197653031
2018,0.8649352013284003,0.6715945520162339,0.9254381705810818
2019,0.884767708939233,0.7106970567884822,0.9386151856084984
2020,0.9019894131843569,0.7439278199622602,0.9500607532339783
2021,0.9168338079372027,0.7741588524015637,0.9601968682846311
2022,0.9297473630572136,0.8009972558934275,0.9683641875694189
2023,0.940913682394267,0.825980969826506,0.9752217950051455
