Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9933539393926938,0.8366821816728144,0.999986287565766
2014,0.9934589524385967,0.8779516584269518,0.9999782779389222
2015,0.9935820235932882,0.9041332287889812,0.9999655179219032
2016,0.9937347435840221,0.9236614096295673,0.9999498055253905
2017,0.9938354041759451,0.9305064959012357,0.9999315084412397
2018,0.9938563246709915,0.9345954145507034,0.9999215166274255
2019,0.9938512656537384,0.9311368990887555,0.999921936603839
2020,0.9939954758824994,0.9145289372411526,0.9999242056714512
2021,0.994045065023124,0.8852700165502291,0.9999394505276004
2022,0.9941918903813851,0.8328973661744377,0.9999518882051606
2023,0.994358315791892,0.7516588619989467,0.9999638966345907
