Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.975619815608211,0.1123172055729845,0.9999649281732751
2014,0.978234866500332,0.2153619782237487,0.9999510714370003
2015,0.9799033751763653,0.33841360928464437,0.999929282708361
2016,0.9812212574960797,0.5094614829502955,0.9999106568042637
2017,0.9827446697662252,0.650434471216052,0.9998869604641197
2018,0.984041457804862,0.7395643450163718,0.999869414545209
2019,0.9858280103046193,0.8014961984681965,0.9998692892011026
2020,0.9871423918004683,0.8274383572255292,0.9998885147447361
2021,0.9887433344243866,0.8269110663988476,0.9999064241562231
2022,0.9898312638317579,0.7990494749326827,0.9999361049402894
2023,0.9909593874622399,0.749631677847541,0.999955157538576
