Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9916933432330418,0.5319332783030357,0.9999831961551812
2014,0.9923521895905533,0.6930424979396701,0.9999735244667068
2015,0.9929982866588751,0.7973809312490261,0.9999600959841906
2016,0.9937176655626463,0.8690070540424464,0.9999488781697344
2017,0.9943193738398539,0.9129992090247727,0.9999451861245445
2018,0.9949489091362471,0.941140330806997,0.9999362084237339
2019,0.9955167362257007,0.9545266321446655,0.9999358792730225
2020,0.9960002719047363,0.9584495682030516,0.9999415123810399
2021,0.9963589380263842,0.9583583960028774,0.999956152684746
2022,0.99667678740907,0.9526856822265014,0.9999693450143685
2023,0.9969733872153125,0.9409924923808015,0.999981264107434
