Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21224101426951353
Klebsiella pneumoniae,0.20753116428952445
Citrobacter freundii,0.20229745097890267
Enterobacter cloacae,0.20163775517817928
Escherichia coli,0.19105409442392426
Klebsiella oxytoca,0.18667850008446496
Enterobacter spp,0.18556574480903815
Proteus mirabilis,0.1741761360822301
Providencia stuartii,0.17414938013087766
Pseudomonas aeruginosa,0.17042448310887767
Enterobacter hormaechi,0.16529180441640184
Providencia spp,0.16240373413342063
Klebsiella aerogenes,0.15761380931533983
Morganella morganii,0.006285918536333824
