Species,Median_Probability_Gene_Presence
Morganella morganii,0.3557835183854087
Enterobacter cloacae,0.2158422648270619
Providencia rettgeri,0.21364855365650243
Klebsiella pneumoniae,0.21008786029815585
Klebsiella oxytoca,0.20635517312981222
Citrobacter freundii,0.2043436844586924
Klebsiella aerogenes,0.20416008739887453
Escherichia coli,0.20415983141731753
Enterobacter spp,0.20373198930202557
Providencia stuartii,0.19521720222792577
Enterobacter hormaechi,0.1943175886413921
Proteus mirabilis,0.18707812221450734
Providencia spp,0.18706747845377492
Pseudomonas aeruginosa,0.17222625283530002
