Species,Median_Probability_Gene_Presence
Morganella morganii,0.3615931268530892
Klebsiella aerogenes,0.24223208726072254
Enterobacter cloacae,0.2373254716254017
Citrobacter freundii,0.2269133715924323
Providencia stuartii,0.2246925431616914
Providencia rettgeri,0.21981880720233293
Enterobacter spp,0.2086301502178831
Klebsiella pneumoniae,0.20731255473760565
Escherichia coli,0.19834543226343526
Providencia spp,0.19364108517070566
Proteus mirabilis,0.18950967819108103
Enterobacter hormaechi,0.18886498290343268
Klebsiella oxytoca,0.18646339661456396
Pseudomonas aeruginosa,0.1734871352216552
