Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15072204928594363
Pseudomonas aeruginosa,0.1318027599707628
Enterobacter spp,0.12741881162048485
Klebsiella pneumoniae,0.12023965786349447
Klebsiella aerogenes,0.11912878798236587
Escherichia coli,0.11853842971091179
Providencia rettgeri,0.11741460059954913
Citrobacter freundii,0.1166961428505049
Enterobacter hormaechi,0.10561983545040679
Enterobacter cloacae,0.10501153352027379
Providencia stuartii,0.10151920848007365
Providencia spp,0.0742829830360888
Klebsiella oxytoca,0.05972696268646642
Morganella morganii,0.020669380906110212
