Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9124733636937492,8.310903977638492e-06,0.9999997621753869
2014,0.9455032766824591,9.693733283322612e-05,0.9999993037211843
2015,0.9659317121657873,0.0012395763870538278,0.9999982084578228
2016,0.9783269841373815,0.013977538043339918,0.9999958315691875
2017,0.9869639529039271,0.1425727685234894,0.9999911225274565
2018,0.9919314857725039,0.621424299773119,0.9999814101976179
2019,0.9948054130289141,0.9034848211096752,0.9999708603857645
2020,0.9969674730080935,0.9577941765744281,0.9999763772172797
2021,0.9982460973077203,0.9633284838636159,0.9999917033764192
2022,0.998909479153872,0.9493576227278636,0.9999988980040332
2023,0.9993154887597272,0.8980873987472707,0.999999881090714
