Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.17708789765715982,0.05619247220795567,0.3775281198942325
2014,0.2654187226658964,0.10199109560775226,0.4863055882141417
2015,0.3801317732333823,0.1722233167699558,0.5970005940477179
2016,0.5087953238509938,0.28536062232807347,0.6990176390421587
2017,0.6360340270167038,0.40565821709452843,0.792648387365122
2018,0.7470479497829468,0.5395532737841875,0.8684859470665061
2019,0.8330104678312819,0.6592955823157112,0.9188104864977577
2020,0.8938696545150624,0.7595857587183731,0.9532190026119725
2021,0.9344920558930809,0.8344447847259019,0.9734848122447343
2022,0.9600408895528956,0.8907702990460964,0.9862043641750665
2023,0.9759627187588185,0.9261086383978763,0.9925843432778099
