Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.06785242020197284,1.8639865100256474e-09,0.9999824913105233
2014,0.16571588227245038,4.1735745067607045e-08,0.9999733380579308
2015,0.3639786456323779,9.029515187293141e-07,0.9999667694466474
2016,0.6252948737535596,2.2224230411058308e-05,0.9999542179614045
2017,0.8245017438615354,0.0004816097089504588,0.99993710925883
2018,0.9327587935681607,0.009518030852070643,0.9999350859712385
2019,0.9749763204278393,0.13108868082069827,0.9999390831708769
2020,0.9908923004804445,0.6170840025081133,0.9999572922335576
2021,0.9967071882756698,0.9122472756412298,0.9999882152421795
2022,0.9988117457749359,0.9757314037821795,0.9999982287606295
2023,0.9995779102768763,0.9870533602070926,0.999999800096289
