Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.015706901723066644,0.005923187825587726,0.035273603134802455
2014,0.01979414426357841,0.00772594728263479,0.04273140211575763
2015,0.0249470869850755,0.010043839328655654,0.052347975047363764
2016,0.03145626894825798,0.01264710060889615,0.06548479960088911
2017,0.039373413036067124,0.0162417961810409,0.08081913012159975
2018,0.049311879392374386,0.020848080406861383,0.09954014761234428
2019,0.06171336006009248,0.02668764583041805,0.12186771841332979
2020,0.07710530085016168,0.033206996669953845,0.15009798180172645
2021,0.0957516866577945,0.04108555971781902,0.18235057818972675
2022,0.11803069834344437,0.05100065745750753,0.21855929463988383
2023,0.1446717951276397,0.06271008884366809,0.2596996741024678
