Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.005056212453534553,4.129243713116109e-08,0.9856295454417116
2014,0.0060178287413768655,1.877881439587108e-07,0.9453898399135597
2015,0.0071123445394539984,1.0036983053982191e-06,0.8236086522863311
2016,0.008535109726737499,4.800742067564059e-06,0.5753409342749956
2017,0.009628045654339699,2.0186392650339247e-05,0.3001052250926771
2018,0.010395127435432158,6.576651216469335e-05,0.15331437572695908
2019,0.011317249978081406,0.00015058495727256077,0.1218910520952528
2020,0.012982764115636532,0.00014147761336657193,0.13325840429502747
2021,0.015914552471213508,8.750473172943252e-05,0.21600630148853459
2022,0.019062306654391167,3.2097752396428534e-05,0.4301318607024198
2023,0.02279642553662288,9.460056433130627e-06,0.7281473675988562
