Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.1062437777302663,0.045943559440227946,0.20513354575806134
2014,0.12437916302710184,0.05518325019022422,0.234933827772592
2015,0.14501301308948003,0.06615702230763826,0.2666217848476395
2016,0.16891227836699285,0.07812179633236238,0.2994463834167645
2017,0.19533234556984735,0.09213570322142216,0.33813365129717643
2018,0.2251707841173597,0.10850390504888749,0.3805942368771428
2019,0.25795933772317114,0.12651078214623993,0.42288155709004804
2020,0.293505625381711,0.1483833787503107,0.464835008159898
2021,0.3317868335888673,0.17228997608953286,0.5103362800349848
2022,0.372067904710103,0.19518839365756038,0.5534307257159585
2023,0.4138873937480403,0.22256814445016473,0.5957172261772895
