Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.24195526302731546,0.10526345147376118,0.4197121578884639
2014,0.23533777699880448,0.10377292904369911,0.4048681683567683
2015,0.22894856821748333,0.10055084668126937,0.39503159583468683
2016,0.22272427056335542,0.09848609224771651,0.3847131575780211
2017,0.2157178874988428,0.09654328993358885,0.37333541243019347
2018,0.20889808304717777,0.09335214884778391,0.36380989834913574
2019,0.20240433516438122,0.09030255404497352,0.3562303656217802
2020,0.19648389763806295,0.08713883459104814,0.3498924466400858
2021,0.19071260187264694,0.08435691898825926,0.34234656962892523
2022,0.18504613970696399,0.08037812490763964,0.3348520675349465
2023,0.17926990732859843,0.07563102539937896,0.3308981143960175
