Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9994719696280892,0.825039847771728,0.9999999997674668
2014,0.999260110972183,0.8937615916608408,0.9999999967945268
2015,0.9989570381080957,0.928749634038555,0.9999999606242511
2016,0.998591993353031,0.9453426195926872,0.9999996392646724
2017,0.9980658190985737,0.9538227011052167,0.9999970636381009
2018,0.9970449733650053,0.9498191828050655,0.9999873485991132
2019,0.9953477941230138,0.926705685821932,0.9999751891470492
2020,0.9922981278489198,0.785614647818334,0.9999733000631965
2021,0.9882715792661252,0.34641551818715244,0.9999803558284154
2022,0.9830746687424974,0.0511602091553692,0.9999892241759389
2023,0.9761844144653198,0.004872182234054208,0.999993773871675
