Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8611703288906247,1.4244341388334855e-07,0.9999998942448938
2014,0.9017208013208885,2.075837471899967e-06,0.9999995308544458
2015,0.9289443606674286,3.041376531977138e-05,0.9999979604088476
2016,0.9518034144941305,0.000517882466811122,0.9999929027993844
2017,0.9674446006909383,0.007718968959629658,0.9999771873699298
2018,0.9768202247985143,0.0950476675756491,0.9999304965779847
2019,0.9830693881031172,0.5570889289931023,0.9999049534145374
2020,0.9885028089942014,0.8283425387484926,0.9999255660434321
2021,0.99347967837465,0.7541009142507717,0.9999778388746017
2022,0.9959508603892073,0.522987844337128,0.9999965399194991
2023,0.9973925400806904,0.23152629092230623,0.9999996521966459
