Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9841800955884425,0.005982371099831309,0.9999997787149439
2014,0.9879878905148199,0.037239652069291335,0.9999993577928953
2015,0.9905835798859548,0.17430952766913854,0.9999982369894427
2016,0.9930207682822195,0.49279248489217886,0.9999952586594886
2017,0.9945482390333436,0.8012831867103127,0.9999894951784664
2018,0.9959604289779698,0.9257113246112799,0.999982470990775
2019,0.9969714942211321,0.9583976481794565,0.9999749711362593
2020,0.9978034515193874,0.9684700885310709,0.9999770563465774
2021,0.9982081060560671,0.9669079808712913,0.9999915758829696
2022,0.9985263401195781,0.9491344303976795,0.9999979634853688
2023,0.9988079292107732,0.8931461924747527,0.9999996144441653
