Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.24778970663230104,0.1128667813116341,0.4496224605013903
2014,0.3344183916790029,0.16613000959786803,0.5465202769595303
2015,0.4341769704546653,0.23346736102194887,0.6390203090586707
2016,0.5397057002450201,0.32033197218877413,0.7239021662882811
2017,0.6415370064114587,0.41949161419820125,0.7998541542865865
2018,0.7322855492164129,0.5230472410666059,0.857795101857845
2019,0.8068935218926867,0.6290225305078179,0.9030983426165715
2020,0.8642597977621709,0.7132045979453042,0.9347535816544608
2021,0.9066135622167695,0.7893682485957502,0.9576337075339195
2022,0.9368200449385948,0.8474599860426156,0.9722567906476162
2023,0.9575873064494796,0.8913977429490105,0.9821334860554451
