Species,Median_Probability_Gene_Presence
Klebsiella oxytoca,0.1918514567673753
Providencia rettgeri,0.1835813760912119
Pseudomonas aeruginosa,0.15771145860965372
Proteus mirabilis,0.15270523448305057
Klebsiella pneumoniae,0.13184216325470935
Escherichia coli,0.13126449349284455
Enterobacter spp,0.12100834518124727
Providencia stuartii,0.1099732053787294
Enterobacter hormaechi,0.08576847338163426
Enterobacter cloacae,0.0826245363451621
Providencia spp,0.057763369416449634
Klebsiella aerogenes,0.055427596244055674
Citrobacter freundii,0.046451349426695515
Morganella morganii,0.006758314431837244
