Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21037260161625554
Klebsiella pneumoniae,0.2055933211777467
Citrobacter freundii,0.19804684028601519
Enterobacter cloacae,0.19737321829048018
Escherichia coli,0.1971716890121451
Enterobacter spp,0.18805706241379572
Enterobacter hormaechi,0.18269347122311352
Providencia stuartii,0.17716972523597135
Providencia spp,0.1736484613439252
Pseudomonas aeruginosa,0.1692818218694475
Proteus mirabilis,0.1620871652394911
Klebsiella oxytoca,0.15780517550641054
Klebsiella aerogenes,0.1471433812732273
Morganella morganii,0.007391917039507202
