Species,Median_Probability_Gene_Presence
Morganella morganii,0.3504329261867355
Providencia rettgeri,0.21265608758344917
Citrobacter freundii,0.19980786639683312
Providencia stuartii,0.19829415728551386
Klebsiella oxytoca,0.19751686794903214
Enterobacter cloacae,0.19221428418431374
Klebsiella pneumoniae,0.19029022733296366
Klebsiella aerogenes,0.18982327289322623
Enterobacter spp,0.18398443527103936
Proteus mirabilis,0.17423542925982755
Pseudomonas aeruginosa,0.16976432328162155
Escherichia coli,0.1677572645151424
Providencia spp,0.15857046634186742
Enterobacter hormaechi,0.14557210136366233
