Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.15245731671191223
Pseudomonas aeruginosa,0.13247713283093143
Enterobacter spp,0.12880122754467593
Klebsiella aerogenes,0.12272576078471817
Klebsiella pneumoniae,0.12248393943805913
Escherichia coli,0.12057119377464093
Citrobacter freundii,0.11873878910592159
Providencia rettgeri,0.11810486305035889
Enterobacter hormaechi,0.10593564605076106
Enterobacter cloacae,0.10434065864281825
Providencia stuartii,0.1038838914438428
Providencia spp,0.075505163597377
Klebsiella oxytoca,0.0589840431009785
Morganella morganii,0.02093306768379193
