,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,0.995,1.235,-1.284,3.364,0.04,0.024,965.0,1397.0,1.0
beta_year,0.184,0.011,0.165,0.206,0.0,0.0,3849.0,3025.0,1.0
beta_gene_count,0.213,0.931,-1.493,1.975,0.02,0.015,2266.0,2430.0,1.0
beta_key_genes[0],-0.819,0.084,-0.977,-0.663,0.002,0.001,2209.0,2634.0,1.0
beta_key_genes[1],-0.819,0.085,-0.972,-0.647,0.002,0.001,1978.0,2085.0,1.0
beta_key_genes[2],-0.808,0.087,-0.971,-0.651,0.002,0.001,2300.0,2467.0,1.0
beta_key_genes[3],-0.896,0.091,-1.066,-0.724,0.002,0.001,2267.0,2513.0,1.0
beta_key_genes[4],-0.72,0.092,-0.893,-0.556,0.002,0.001,2348.0,2734.0,1.0
sigma_species,3.049,0.498,2.203,4.026,0.012,0.008,1616.0,2214.0,1.0
sigma_gender,0.587,0.469,0.061,1.46,0.016,0.017,1124.0,1167.0,1.0
sigma_age,0.468,0.175,0.222,0.79,0.005,0.006,1816.0,1908.0,1.0
sigma_source,2.188,0.361,1.55,2.865,0.01,0.006,1300.0,2499.0,1.0
sigma_specialty,0.625,0.178,0.33,0.935,0.004,0.004,2735.0,2972.0,1.0
