Species,Median_Slope_Resistance_Change_per_Year,Probability_Slope_Positive
Klebsiella aerogenes,0.9713993385317721,1.0
Enterobacter hormaechi,0.47619866763094376,0.891
Enterobacter spp,0.3758928379381672,0.8355
Citrobacter freundii,0.32651335563734574,0.79675
Providencia spp,0.2967791490139961,0.769
Pseudomonas aeruginosa,0.29387725035165624,1.0
Providencia stuartii,0.2480397046342373,0.74525
Klebsiella oxytoca,0.22920715371702072,0.73625
Morganella morganii,0.2010187053243442,0.7745
Enterobacter cloacae,0.15217630740406218,0.94775
Providencia rettgeri,0.06754355775674112,0.5705
Klebsiella pneumoniae,0.051443988927495785,0.99975
Escherichia coli,0.04691754866249198,0.9995
Proteus mirabilis,-0.02375403137465,0.25625
