Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.970561520148252,0.005599262975676207,0.9999849845005568
2014,0.9773601541726584,0.021636520316663323,0.9999781595870215
2015,0.9835843050145844,0.0902447302941639,0.9999672276097414
2016,0.9878025024635215,0.30527965147054387,0.9999566942296004
2017,0.9911986121352967,0.6314324363443738,0.9999472585873783
2018,0.9932328963940957,0.8510708916766713,0.9999474577181042
2019,0.9950137251840023,0.9307698436613844,0.9999562838298119
2020,0.9965766201172656,0.9567633580826438,0.9999676851568645
2021,0.997694856202807,0.9649339358941478,0.999981378354083
2022,0.9984076992186923,0.9643475989301941,0.9999926939403228
2023,0.9989097150790921,0.9547907421471996,0.9999976034036894
