Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.8658619748214029,0.6693747584966184,0.961905546693993
2014,0.8829246462581861,0.716858713148937,0.9622167910620056
2015,0.8980850583942351,0.7599912872117572,0.962731473656844
2016,0.9109267615038554,0.797738874431246,0.9643368806246494
2017,0.9233085234551524,0.8269880995437214,0.9666192638425083
2018,0.933851623993185,0.8472454335042624,0.9707364966005021
2019,0.9425684706883543,0.8662384336731274,0.9754932029427978
2020,0.9497381214002993,0.8803181202358854,0.9803023399868563
2021,0.95621257649036,0.8909692569280119,0.9850429672374088
2022,0.9615956489686699,0.8952759536198247,0.9884406935027912
2023,0.9667541405870955,0.8980182190614151,0.9913225759119053
