Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9005231028670238,2.6510095450649177e-05,0.9999674323847173
2014,0.9352980074098189,0.00018851923797262698,0.9999633200688539
2015,0.9576879333758697,0.0010845841215844857,0.9999525104304531
2016,0.9729068405187385,0.006637949320850959,0.9999453136467555
2017,0.9832182042617218,0.04301250307491396,0.9999444189585078
2018,0.9895846970204099,0.2105569657509065,0.99994410190743
2019,0.9931010441111592,0.597456444259429,0.9999536657317363
2020,0.9957220870556722,0.8607833576545587,0.9999617000325408
2021,0.9972653922243744,0.9568182135295207,0.9999733958390014
2022,0.998385224561073,0.9796250841472638,0.9999859345622877
2023,0.9990870775091607,0.9856456606984431,0.9999948707150387
