Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.935589323862674,0.00010138563157025298,0.9999731419175963
2014,0.9540137480557562,0.0006315326719902642,0.9999655259782664
2015,0.9675846755470665,0.0046327890834105415,0.9999535648752873
2016,0.9773235324318992,0.028695621976692624,0.9999427351230659
2017,0.9839727594908196,0.1436303500300974,0.999936169886644
2018,0.9889466169554415,0.47485549595229665,0.9999288532537949
2019,0.9922935470674672,0.7935295070839659,0.9999322694506265
2020,0.9948395406329488,0.915080800943407,0.9999513067233742
2021,0.9964424981719043,0.9522082393279441,0.9999701685615254
2022,0.9977782697203244,0.9640009001828999,0.9999874507837558
2023,0.9985793683816735,0.9660209844492275,0.9999962598833185
