Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.3077854223238352,0.16627625567322743,0.4476824419861708
2014,0.31808988520739623,0.17252350203778694,0.45608210826038625
2015,0.3287503000803702,0.17864398278089472,0.46783955352403256
2016,0.3393930878461451,0.18476939995867378,0.4805695719605526
2017,0.35013675061933297,0.1934127001259226,0.4927139751284411
2018,0.36100327396095977,0.20295715483834767,0.5023650466660002
2019,0.3722774177335173,0.2095611620385545,0.5160526139061914
2020,0.38283175692296934,0.2173107860193607,0.5296552712593391
2021,0.39397794683998455,0.22581680858885395,0.5450389676321253
2022,0.4049835556735738,0.23204035967904663,0.5585712314132304
2023,0.4155097546887796,0.2402779436697375,0.5741571479712877
