Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.024222214148933684,8.88852793755533e-06,0.3435553097967083
2014,0.06370453168265823,6.818951257044459e-05,0.47473198618544055
2015,0.15344540181769728,0.0004844194120906543,0.6358085482025935
2016,0.3124000800089972,0.0033900183946012617,0.7918631959585842
2017,0.5361150754203912,0.02376993371906329,0.91840740620691
2018,0.7391637756681673,0.12511572219398895,0.9726142350409234
2019,0.8748336270515409,0.40523468423552994,0.9924653035349587
2020,0.9464175014585672,0.7212750805965169,0.9985512323196684
2021,0.9789063615644928,0.8625203759995442,0.9997563368651535
2022,0.9920953778535397,0.9225292188562815,0.9999638844772241
2023,0.9970240512786408,0.9540590882425262,0.9999942897783933
