Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.45774536274280714,0.2722026450227026,0.5987348348247901
2014,0.4706353535376092,0.28372920502758264,0.6113864595155646
2015,0.4836039564511161,0.2959438214967479,0.6246504798665222
2016,0.4964046395464671,0.3052727468831132,0.6381762956876893
2017,0.5093297725294289,0.3165790157523676,0.6496217662518771
2018,0.5224185860156911,0.32607095903890926,0.6606735204147544
2019,0.5349674477084647,0.33689683528574343,0.6739152898057466
2020,0.5475863891757091,0.34862832686202644,0.6873427551236602
2021,0.5603191559340381,0.3616029758004983,0.7001743684705344
2022,0.5725071120329717,0.37244368160513774,0.712798919491684
2023,0.5848098080158413,0.38470497084076954,0.724706689632468
