Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0039052077528373666,2.4795912253232657e-06,0.1433808506548131
2014,0.0047319511797433425,6.088335753706303e-06,0.12313092819204831
2015,0.005688438616633484,1.465148941473669e-05,0.1106323185939414
2016,0.006814287288821559,3.218860695337717e-05,0.10053842082335893
2017,0.008012302352563574,6.901440859331015e-05,0.09721504832378368
2018,0.009834385279720135,0.00012918442956655855,0.10057225712115414
2019,0.012116965116935826,0.00023231320163129456,0.11295474172975095
2020,0.015465352264527471,0.0003606085579425442,0.12486791539426004
2021,0.019630462067898112,0.00041858143368152354,0.15315974425826331
2022,0.02517885825958323,0.0003759558457318377,0.1973747075419533
2023,0.03127565740261776,0.00031327311606434263,0.2999135749828018
