Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.99454344638681,0.808230947601751,0.9999978506842181
2014,0.9948864535942603,0.8721308442711454,0.9999949322299506
2015,0.9952946863294898,0.9123896793372182,0.9999897661216086
2016,0.9956062000627046,0.9353576206638307,0.9999841608670318
2017,0.9958366459053252,0.9454696060814526,0.9999725191974583
2018,0.9960401718755343,0.9472432623635166,0.9999638014483834
2019,0.9960481536628258,0.9396021660129463,0.9999652708351893
2020,0.996179934959217,0.9176520663306018,0.9999733806708776
2021,0.9963753373529569,0.8602562245321552,0.9999799606201095
2022,0.9966326250048761,0.7195672132497167,0.9999874100855201
2023,0.996864000683473,0.5105791202205657,0.9999933295317116
