Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9844860363249781,0.12188692835530013,0.9999887359070685
2014,0.9876948403226457,0.29325222610944757,0.9999839188251943
2015,0.990329878702812,0.5423010325474438,0.9999792900277049
2016,0.9924842222011628,0.7721709628694022,0.9999728809083805
2017,0.9939702723824797,0.8786385133752037,0.999969325030654
2018,0.9953794078039512,0.9306159961331771,0.9999677908195066
2019,0.9964287805516272,0.9560407824258685,0.9999720988965606
2020,0.9972671605937236,0.965218528764366,0.9999789202320349
2021,0.997958371675719,0.9671421320957799,0.9999881011475158
2022,0.9984613625014728,0.9632329931660651,0.999994057382547
2023,0.9987985536786426,0.9549915014465769,0.9999974173752603
