Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.21312201385300267
Klebsiella pneumoniae,0.20717690894623578
Enterobacter cloacae,0.2035141512652189
Citrobacter freundii,0.2026922285610197
Escherichia coli,0.19699013513446884
Klebsiella oxytoca,0.18966388149191837
Enterobacter spp,0.1888691687160488
Proteus mirabilis,0.17440047485232835
Providencia stuartii,0.173848613374787
Pseudomonas aeruginosa,0.17144592440885442
Enterobacter hormaechi,0.16683642873351756
Providencia spp,0.1632458918055688
Klebsiella aerogenes,0.15888447468438144
Morganella morganii,0.0062910028074671534
