Species,Median_Probability_Gene_Presence
Morganella morganii,0.35883191062194286
Enterobacter cloacae,0.21665601314131944
Providencia rettgeri,0.21465934802357448
Klebsiella pneumoniae,0.2114523895063652
Klebsiella oxytoca,0.20985410913786523
Escherichia coli,0.20672474173272548
Klebsiella aerogenes,0.20633987985424002
Enterobacter spp,0.20609901096296915
Citrobacter freundii,0.20556944555108259
Providencia stuartii,0.19785789106016435
Enterobacter hormaechi,0.1972445754188593
Providencia spp,0.19164549992174462
Proteus mirabilis,0.19014565916685033
Pseudomonas aeruginosa,0.17295195256821644
