Species,Median_Probability_Gene_Presence
Morganella morganii,0.35519353118885744
Enterobacter cloacae,0.21589446574001891
Providencia rettgeri,0.21329520014559827
Klebsiella pneumoniae,0.20909952011724467
Klebsiella oxytoca,0.20558349313542174
Citrobacter freundii,0.20356840216543465
Escherichia coli,0.20345291599552978
Enterobacter spp,0.20277759291304714
Klebsiella aerogenes,0.2021699742441808
Providencia stuartii,0.19464560323338218
Enterobacter hormaechi,0.1925920512210851
Proteus mirabilis,0.18712830491484309
Providencia spp,0.1870381567847339
Pseudomonas aeruginosa,0.17140416333219516
