,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,2.012,1.226,-0.153,4.46,0.03,0.022,1636.0,2075.0,1.0
beta_year,0.033,0.008,0.018,0.047,0.0,0.0,4148.0,2813.0,1.0
beta_gene_count,0.494,0.909,-1.209,2.157,0.015,0.015,3508.0,2723.0,1.0
beta_key_genes[0],-0.693,0.073,-0.832,-0.556,0.002,0.001,2300.0,2818.0,1.0
beta_key_genes[1],-0.693,0.074,-0.836,-0.557,0.001,0.001,2698.0,2678.0,1.0
beta_key_genes[2],-0.679,0.076,-0.823,-0.539,0.002,0.001,2445.0,2630.0,1.0
beta_key_genes[3],-0.667,0.077,-0.81,-0.524,0.002,0.001,2569.0,3015.0,1.0
beta_key_genes[4],-0.466,0.082,-0.627,-0.318,0.002,0.001,2551.0,2575.0,1.0
sigma_species,3.138,0.49,2.269,4.082,0.011,0.007,2098.0,2569.0,1.0
sigma_gender,0.529,0.446,0.042,1.375,0.013,0.011,1373.0,2146.0,1.0
sigma_age,0.762,0.254,0.363,1.217,0.006,0.007,2191.0,1845.0,1.0
sigma_source,2.393,0.362,1.72,3.069,0.008,0.006,2281.0,2550.0,1.0
sigma_specialty,0.551,0.159,0.296,0.844,0.003,0.004,3088.0,2629.0,1.0
