Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0005036802957021334,4.1000077434982226e-09,0.48335961530642696
2014,0.0004903625221602821,1.46138364572711e-08,0.3037543436319833
2015,0.0004692829374244768,5.3794670145889924e-08,0.17080613612409712
2016,0.0004530129712775936,1.5609717366210468e-07,0.09888708184090281
2017,0.0004184805962551064,4.106726701282018e-07,0.06312988424614407
2018,0.00041315105439642134,9.097006530721056e-07,0.04475118452953434
2019,0.0004237181785665848,1.0823812402721948e-06,0.04013399678054169
2020,0.00044347642062209265,9.222879298961839e-07,0.039325308432220395
2021,0.000461865390553417,6.702543241339565e-07,0.0487518091808251
2022,0.0005127693522542997,3.780567362421693e-07,0.08488620151742574
2023,0.0004856162039312877,2.0856845618536266e-07,0.1622107470637814
