Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.019378468741135756,7.662707033979493e-08,0.9999973099690305
2014,0.012325801273473463,1.8458002914003477e-07,0.9999604221522547
2015,0.008156517566532046,3.805626685197242e-07,0.9995849548397573
2016,0.005303571051299769,6.563038530388066e-07,0.9947512632723494
2017,0.0033155507233371016,1.0805128683816304e-06,0.959756949156604
2018,0.002159010013900836,1.6739904891960006e-06,0.767455345056057
2019,0.0014157264322211338,2.178028950713814e-06,0.37583903975182636
2020,0.0009127202435295859,1.8332638092580283e-06,0.15004507290711985
2021,0.0005877420627623628,8.469363656049289e-07,0.07337946671782121
2022,0.0003898857762582856,2.8159241142723165e-07,0.049672479527204896
2023,0.00025884848818729614,4.5122735141043597e-08,0.04574133454995096
