Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0005722182634320839,8.291996705734911e-06,0.052384572912925316
2014,0.0006904753595936504,1.5239887799629979e-05,0.05054119505087288
2015,0.000858017470051563,2.912294552119713e-05,0.051674065749456086
2016,0.0010599815988908533,5.2850906684818544e-05,0.05383907040927853
2017,0.0012848464272657198,9.121122728168722e-05,0.06054807620852551
2018,0.0015436096628808453,0.0001569960614400803,0.06969016230422752
2019,0.0018919156480364289,0.0002558477250913535,0.08006711633960585
2020,0.0023428010489105608,0.0003736057057914943,0.09875752379195057
2021,0.0029568553740907107,0.0004724325340801169,0.13019548636207
2022,0.00384244310069691,0.0005017383494472866,0.1770475306737545
2023,0.005028398637670803,0.0005064421439287109,0.2225344069254515
