Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.002316220119379795,8.42688280742232e-09,0.8748626493230147
2014,0.001998067602989696,2.742389108555962e-08,0.7444002658220277
2015,0.0016755668838739726,9.427532430247595e-08,0.5650212416153843
2016,0.0013419788251949629,3.0394649434349024e-07,0.37807519750956853
2017,0.0011467147387310705,9.206168204477624e-07,0.25404897159572504
2018,0.0010186917346088377,1.5958668567723705e-06,0.1689593135373312
2019,0.0009376402321202074,2.045140783869918e-06,0.12100101830502558
2020,0.0009506178833737376,1.6031542901197691e-06,0.11022004360024033
2021,0.0009747552171738931,9.516127824818566e-07,0.136251709181794
2022,0.0009870064064694093,4.5240924696150244e-07,0.18161308660402548
2023,0.0009304830606912326,1.7183488295946082e-07,0.30923832760988335
