Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0044833476963415195,3.348826797189038e-09,0.9985341123034961
2014,0.0037619456367447663,1.574612207232247e-08,0.9911619121994715
2015,0.003125671726270299,6.370122008476e-08,0.9495782655543196
2016,0.0027261158807735885,2.871753957114113e-07,0.787597324305614
2017,0.0023147997270604624,9.492184742929584e-07,0.4844865124657214
2018,0.002025937998615517,2.078483022332346e-06,0.25377175954511044
2019,0.0016654815028989032,2.7909959297201025e-06,0.174772680141054
2020,0.0014314018138609874,2.0739826315852915e-06,0.15222490193182794
2021,0.0012482100604862445,8.915914859565137e-07,0.2096341226963743
2022,0.0010242176705900186,2.979740348197774e-07,0.38364926326661214
2023,0.0009347915442570525,7.483746510762744e-08,0.6909310685064733
