Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,7.148897544409882e-05,5.804502505879505e-09,0.04519120198251597
2014,6.648143209667419e-05,1.4480153891632814e-08,0.02432780800227542
2015,6.08984481796029e-05,3.581853086952082e-08,0.013689685763883845
2016,5.6160231897094156e-05,7.445916031241128e-08,0.007577867007964475
2017,5.189337661845624e-05,1.4103417042953139e-07,0.005171528105052182
2018,4.765875785448599e-05,2.2522080681621848e-07,0.003704291981521207
2019,4.646064896534392e-05,2.5764460091896974e-07,0.0031765547586567145
2020,5.004543147284969e-05,2.3942895405176974e-07,0.003218065496526729
2021,5.278302462844154e-05,1.669258478595164e-07,0.003422936165196389
2022,5.223511873896272e-05,1.0067814627254059e-07,0.003980133951890197
2023,5.016466647183765e-05,6.018406516356499e-08,0.006698209144231893
