Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.0013939908866961045,1.94283269577775e-09,0.7454501230245092
2014,0.001327400322289717,9.759593027935713e-09,0.567997319639803
2015,0.0012616076235448623,4.4035461408914706e-08,0.39076915712283733
2016,0.001167634345696234,1.6494510634511268e-07,0.2955729684332858
2017,0.0010582636098178553,4.6813528950645515e-07,0.22384589886069137
2018,0.0010082997922002328,1.1464273257791948e-06,0.1808269274658324
2019,0.0010907920296758813,1.5409773450105572e-06,0.15378014084606362
2020,0.0011923975794773042,1.4455563668470572e-06,0.15353958753614125
2021,0.0013005554847283656,8.240713473107662e-07,0.18960375283965922
2022,0.0013966056470048158,4.803549794360803e-07,0.27953346383987454
2023,0.0015298141540131837,2.509215071612886e-07,0.46888717261175994
