Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.00032307758156399624,6.537742738435842e-09,0.2526068915456765
2014,0.00031681166020786555,1.90148614215373e-08,0.16469776100099925
2015,0.0003029098495389833,5.561490162285575e-08,0.10075409694522183
2016,0.00028629798713484015,1.629345283325524e-07,0.06159592450431314
2017,0.00027802585401958877,3.055120371787393e-07,0.04261803005045408
2018,0.0002694760821433361,5.388440073643331e-07,0.03415719154953421
2019,0.00028153127331472666,9.063231901990759e-07,0.03160435753617963
2020,0.0002995524856632428,8.19967559792152e-07,0.03498983188502682
2021,0.0003355408769405748,5.551642452787239e-07,0.040069719953401056
2022,0.0003732648107347532,3.2525814967316053e-07,0.05314386733372714
2023,0.00040869091086187867,1.566335178402762e-07,0.09177714647283454
