Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.00036068072458953366,8.452758427518018e-09,0.30514374834848956
2014,0.00033935687905482646,2.571585142861161e-08,0.1901330119631896
2015,0.0003094151610326705,8.75731822036487e-08,0.10613327765410602
2016,0.0002879442940875705,2.2253017658115372e-07,0.06102378210931891
2017,0.00027540098983528646,4.5551820465984903e-07,0.03634657818698609
2018,0.00025158410591694786,8.140053880308099e-07,0.027625099533772093
2019,0.0002457648666656498,9.868873582159306e-07,0.02434885022024123
2020,0.00025106739727778033,1.0045099976817982e-06,0.024941131354907248
2021,0.00026533950917439326,6.34830463734887e-07,0.02546156881773266
2022,0.0002827505976966631,3.111224286280938e-07,0.03531399744192005
2023,0.00028584372163488226,1.3294619214713006e-07,0.05557317413720591
