Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.19121707039735242
Klebsiella oxytoca,0.16486545837206557
Pseudomonas aeruginosa,0.16422355637265162
Proteus mirabilis,0.16182169576665376
Klebsiella pneumoniae,0.1383355423269308
Providencia stuartii,0.1381868677310784
Enterobacter spp,0.13438466105353475
Escherichia coli,0.1225133248252776
Enterobacter cloacae,0.11450463270530553
Enterobacter hormaechi,0.06040644172647207
Klebsiella aerogenes,0.05413933831380443
Providencia spp,0.04605520482531343
Citrobacter freundii,0.03935005575681841
Morganella morganii,0.005039632381622574
