Species,Median_Probability_Gene_Presence
Providencia rettgeri,0.2126329041116492
Enterobacter cloacae,0.20967473934144812
Klebsiella pneumoniae,0.20818067489390246
Citrobacter freundii,0.20429428350555545
Escherichia coli,0.1968709912494241
Klebsiella oxytoca,0.19285255710038068
Enterobacter spp,0.19043842174641504
Proteus mirabilis,0.17577118856122312
Providencia stuartii,0.1753997023795779
Pseudomonas aeruginosa,0.17104327337087033
Enterobacter hormaechi,0.16721679641334308
Providencia spp,0.16709204363682373
Klebsiella aerogenes,0.1641796475814048
Morganella morganii,0.006595296732927526
