Species,Median_Probability_Gene_Presence
Morganella morganii,0.35399288071147206
Providencia rettgeri,0.21239655320543083
Enterobacter cloacae,0.2110509388006988
Klebsiella pneumoniae,0.208162486624283
Klebsiella oxytoca,0.20587750873232746
Enterobacter spp,0.20301080867023485
Escherichia coli,0.2024983950509584
Citrobacter freundii,0.20235441621375733
Klebsiella aerogenes,0.20095455559844003
Providencia stuartii,0.19326857423921837
Enterobacter hormaechi,0.19307266408997129
Providencia spp,0.18632614792782104
Proteus mirabilis,0.18532275668543763
Pseudomonas aeruginosa,0.1712171545318466
