Species,Median_Probability_Gene_Presence
Proteus mirabilis,0.1469826646930219
Enterobacter spp,0.1327309200787817
Pseudomonas aeruginosa,0.13150301765681055
Klebsiella aerogenes,0.12637828184408978
Escherichia coli,0.12552287086819974
Klebsiella pneumoniae,0.12503714223410922
Citrobacter freundii,0.1220896540408211
Providencia rettgeri,0.11697013963521685
Enterobacter hormaechi,0.11043951358378187
Enterobacter cloacae,0.10319142659755672
Providencia stuartii,0.10109537297724425
Providencia spp,0.08018589463027176
Klebsiella oxytoca,0.05468019389828695
Morganella morganii,0.019966588472111954
