,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept,-4.251,1.516,-6.981,-1.391,0.027,0.025,3100.0,3028.0,1.0
beta_year,-0.101,0.204,-0.479,0.275,0.003,0.003,3545.0,3031.0,1.0
beta_gene_count,-1.056,0.957,-2.931,0.664,0.018,0.017,2882.0,2702.0,1.0
beta_key_genes[0],0.038,0.648,-1.126,1.321,0.013,0.011,2625.0,3145.0,1.0
beta_key_genes[1],0.024,0.653,-1.179,1.258,0.009,0.01,5307.0,3054.0,1.0
beta_key_genes[2],0.067,0.668,-1.207,1.306,0.009,0.011,5580.0,2862.0,1.01
beta_key_genes[3],-0.807,0.81,-2.254,0.729,0.011,0.014,5061.0,2660.0,1.0
beta_key_genes[4],-0.113,0.788,-1.575,1.393,0.011,0.014,4900.0,1775.0,1.0
sigma_species,3.238,0.561,2.195,4.293,0.012,0.008,2042.0,2310.0,1.0
sigma_gender,1.164,0.713,0.068,2.378,0.026,0.013,290.0,90.0,1.01
sigma_age,1.212,0.667,0.106,2.33,0.03,0.011,437.0,574.0,1.01
sigma_source,1.857,0.497,0.973,2.81,0.023,0.009,436.0,865.0,1.0
sigma_specialty,2.041,0.574,1.009,3.115,0.015,0.009,1434.0,2100.0,1.0
