Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9944209873996063,0.0003900431955300277,0.9999999769766839
2014,0.9953113014970136,0.0024493332369782865,0.9999999185329401
2015,0.9958889510609554,0.012519383706244615,0.999999644649073
2016,0.9962040318539728,0.06849651650528937,0.999998785863509
2017,0.9967241141465806,0.3067130305202765,0.9999965812664124
2018,0.9970611755008987,0.678032913586054,0.9999907627533535
2019,0.9975439370739352,0.8334236167948795,0.9999830286699064
2020,0.9978935885691915,0.9022676072363263,0.9999820994773438
2021,0.9981854844050562,0.8872104914060707,0.99999293818624
2022,0.998296486003321,0.8085354497779221,0.9999979246482272
2023,0.9984313125079269,0.6747928882254729,0.9999996910049472
