Year,Median_Probability_Resistance,Lower_95_Credible_Interval,Upper_95_Credible_Interval
2013,0.9984909102131194,0.18664633709571496,0.9999999700880774
2014,0.9985606724943987,0.3796635416248067,0.9999999094363378
2015,0.9986251686089769,0.6243076278401727,0.999999743510751
2016,0.9986502942223421,0.783979406512449,0.9999991723694228
2017,0.9987966324208661,0.8813151656738979,0.9999975954808658
2018,0.9989284036708966,0.929434712337966,0.9999946581196772
2019,0.9989311240263387,0.9525073221904248,0.9999878198874353
2020,0.9989762031256783,0.9555566112434437,0.9999868781335063
2021,0.9989259880542212,0.9465337633670515,0.9999910396985561
2022,0.9988890078115581,0.9218217941500946,0.9999958942646653
2023,0.9989177140398778,0.8527478968949695,0.9999984269495562
